id,fund_type,department_code,fund_code,organization_code,organization_description,division_code,division_description,section_code,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,total_budgeted_unit_people,total_budgeted_unit_time
2163,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,B 09,1,0665,Annual,1,63348,63348,1.0,
2164,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,B 09,1,0665,Annual,1,60420,60420,1.0,
2165,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,B 08,1,0430,Annual,1,63348,126696,2.0,
2166,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,B 08,1,0430,Annual,1,60420,120840,2.0,
2167,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,B 08,1,0430,Annual,1,57720,346320,6.0,
2168,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,B 12,1,0303,Annual,1,91824,183648,2.0,
2169,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,1 00,0,0015,Annual,0,6768469,6768469,,0.0
2170,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4010,Areas - Districts,1 00,0,0011,Annual,0,1928279,1928279,,0.0
2171,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,3 00,99,9752,Annual,1,162684,325368,2.0,
2172,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,E 04,73,9173,Annual,1,140286,701430,5.0,
2173,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,E 04,73,9173,Annual,1,136116,408348,3.0,
2174,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,E 03,71,9171,Annual,1,124920,3497760,28.0,
2175,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,E 03,71,9171,Annual,1,121020,2904480,24.0,
2176,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,E 03,71,9171,Annual,1,117246,1641444,14.0,
2177,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,E 03,71,9171,Annual,1,113670,1023030,9.0,
2178,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 2A,91,9165,Annual,1,103932,25463340,245.0,
2179,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 2A,91,9165,Annual,1,100980,25446960,252.0,
2180,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 2A,91,9165,Annual,1,97440,19195680,197.0,
2181,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 2A,91,9165,Annual,1,94122,12141738,129.0,
2182,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 2A,91,9165,Annual,1,91080,8197200,90.0,
2183,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 2A,91,9165,Annual,1,70980,3761940,53.0,
2184,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 01,91,9161,Annual,1,93354,186708,2.0,
2185,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,D 01,91,9161,Annual,1,90024,180048,2.0,
2186,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,BX 16,10,9120,Annual,1,64704,323520,5.0,
2187,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,4 00,0,9107,Hourly,0,35,196735,,5621.0
2188,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,B 14,1,9003,Annual,1,63720,63720,1.0,
2189,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,B 09,1,0665,Annual,1,69468,69468,1.0,
2190,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,B 08,1,0430,Annual,1,63348,63348,1.0,
2191,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,B 10,1,0302,Annual,1,76248,76248,1.0,
2192,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,1 00,0,0015,Annual,0,141368,141368,,0.0
2193,Local,57,0100,1005,Chicago Police Department,2011,Office of Operations,3059,4012,Areas - Detectives,1 00,0,0011,Annual,0,152646,152646,,0.0
2194,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,1 00,99,9796,Annual,1,170112,170112,1.0,
2195,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,1 00,99,9785,Annual,1,185364,185364,1.0,
2196,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,E 04,73,9173,Annual,1,140286,140286,1.0,
2197,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,E 04,73,9173,Annual,1,136116,136116,1.0,
2198,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,E 03,71,9171,Annual,1,121020,242040,2.0,
2199,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,E 03,71,9171,Annual,1,113670,227340,2.0,
2200,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 2A,91,9165,Annual,1,103932,415728,4.0,
2201,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 2A,91,9165,Annual,1,100980,201960,2.0,
2202,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 2A,91,9165,Annual,1,97440,487200,5.0,
2203,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 2A,91,9165,Annual,1,94122,470610,5.0,
2204,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 2A,91,9165,Annual,1,91080,91080,1.0,
2205,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 01,91,9161,Annual,1,96060,96060,1.0,
2206,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 01,91,9161,Annual,1,90024,180048,2.0,
2207,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,D 01,91,9161,Annual,1,87006,174012,2.0,
2208,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,G 06,4,0638,Annual,1,69048,69048,1.0,
2209,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,G 08,4,0635,Annual,1,119712,119712,1.0,
2210,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,1 00,0,0015,Annual,0,5244,5244,,0.0
2211,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3274,0,,1 00,0,0011,Annual,0,11187,11187,,0.0
2212,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,3 00,99,9752,Annual,1,162684,162684,1.0,
2213,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,E 03,71,9171,Annual,1,124920,124920,1.0,
2214,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,D 2A,91,9165,Annual,1,103932,207864,2.0,
2215,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,D 2A,91,9165,Annual,1,100980,201960,2.0,
2216,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,D 2A,91,9165,Annual,1,70980,70980,1.0,
2217,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,D 01,91,9161,Annual,1,87006,87006,1.0,
2218,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,B 09,1,0665,Annual,1,69468,138936,2.0,
2219,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,B 09,1,0665,Annual,1,66336,66336,1.0,
2220,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,B 08,1,0430,Annual,1,57720,57720,1.0,
2221,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4280,Youth Investigations Division,1 00,0,0011,Annual,0,1874,1874,,0.0
2222,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,E 04,73,9173,Annual,1,140286,140286,1.0,
2223,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,E 03,71,9171,Annual,1,128682,128682,1.0,
2224,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,E 03,71,9171,Annual,1,124920,499680,4.0,
2225,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,E 03,71,9171,Annual,1,113670,113670,1.0,
2226,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 2A,91,9165,Annual,1,103932,1143252,11.0,
2227,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 2A,91,9165,Annual,1,100980,504900,5.0,
2228,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 2A,91,9165,Annual,1,97440,97440,1.0,
2229,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 2A,91,9165,Annual,1,94122,188244,2.0,
2230,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 2A,91,9165,Annual,1,70980,212940,3.0,
2231,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 01,91,9161,Annual,1,96060,384240,4.0,
2232,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 01,91,9161,Annual,1,93354,93354,1.0,
2233,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 01,91,9161,Annual,1,90024,540144,6.0,
2234,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 01,91,9161,Annual,1,87006,87006,1.0,
2235,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,D 01,91,9161,Annual,1,80016,80016,1.0,
2236,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,I 12,2,9122,Annual,1,84324,168648,2.0,
2237,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,I 12,2,9122,Annual,1,70032,70032,1.0,
2238,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,I 12,2,9122,Annual,1,66864,66864,1.0,
2239,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,I 12,2,9122,Annual,1,63792,63792,1.0,
2240,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,I 12,2,9122,Annual,1,54840,54840,1.0,
2241,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,1 00,0,0015,Annual,0,4899,4899,,0.0
2242,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4284,Juvenile Intervention and Support Center,1 00,0,0011,Annual,0,13234,13234,,0.0
2243,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,E 04,73,9173,Annual,1,136116,136116,1.0,
2244,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,E 03,71,9171,Annual,1,121020,363060,3.0,
2245,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,D 2A,91,9165,Annual,1,103932,623592,6.0,
2246,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,D 2A,91,9165,Annual,1,100980,908820,9.0,
2247,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,D 2A,91,9165,Annual,1,97440,974400,10.0,
2248,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,D 2A,91,9165,Annual,1,94122,470610,5.0,
2249,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,D 2A,91,9165,Annual,1,91080,273240,3.0,
2250,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,D 01,91,9161,Annual,1,90024,180048,2.0,
2251,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,1 00,0,0015,Annual,0,2128,2128,,0.0
2252,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4285,Special Investigations Unit,1 00,0,0011,Annual,0,7488,7488,,0.0
2253,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,E 03,71,9171,Annual,1,124920,124920,1.0,
2254,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 2A,91,9165,Annual,1,100980,403920,4.0,
2255,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 2A,91,9165,Annual,1,97440,194880,2.0,
2256,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 2A,91,9165,Annual,1,94122,94122,1.0,
2257,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 2A,91,9165,Annual,1,91080,91080,1.0,
2258,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 01,91,9161,Annual,1,96060,192120,2.0,
2259,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 01,91,9161,Annual,1,90024,90024,1.0,
2260,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 01,91,9161,Annual,1,87006,174012,2.0,
2261,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,D 01,91,9161,Annual,1,84054,84054,1.0,
2262,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,1 00,0,0015,Annual,0,1383,1383,,0.0
2263,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3282,4286,Criminal Registration Unit,1 00,0,0011,Annual,0,1874,1874,,0.0
2264,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4277,Central Investigations Division,3 00,99,9752,Annual,1,162684,162684,1.0,
2265,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4277,Central Investigations Division,E 04,73,9173,Annual,1,136116,136116,1.0,
2266,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4277,Central Investigations Division,E 04,73,9173,Annual,1,128160,128160,1.0,
2267,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4277,Central Investigations Division,E 03,71,9171,Annual,1,121020,121020,1.0,
2268,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4277,Central Investigations Division,D 01,91,9161,Annual,1,96060,288180,3.0,
2269,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4277,Central Investigations Division,D 01,91,9161,Annual,1,93354,93354,1.0,
2270,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4277,Central Investigations Division,1 00,0,0011,Annual,0,5779,5779,,0.0
2271,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,E 03,71,9171,Annual,1,124920,249840,2.0,
2272,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,E 03,71,9171,Annual,1,121020,242040,2.0,
2273,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,E 03,71,9171,Annual,1,117246,117246,1.0,
2274,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,D 2A,91,9165,Annual,1,103932,519660,5.0,
2275,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,D 2A,91,9165,Annual,1,100980,100980,1.0,
2276,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,D 2A,91,9165,Annual,1,97440,97440,1.0,
2277,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,D 2A,91,9165,Annual,1,94122,188244,2.0,
2278,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,D 2A,91,9165,Annual,1,91080,364320,4.0,
2279,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,D 2A,91,9165,Annual,1,70980,496860,7.0,
2280,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,B 09,1,0832,Annual,1,69468,69468,1.0,
2281,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,1 00,0,0015,Annual,0,2212,2212,,0.0
2282,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4278,Arson Unit,1 00,0,0011,Annual,0,9138,9138,,0.0
2283,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,E 04,73,9173,Annual,1,140286,140286,1.0,
2284,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,E 03,71,9171,Annual,1,124920,124920,1.0,
2285,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,E 03,71,9171,Annual,1,121020,484080,4.0,
2286,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,E 03,71,9171,Annual,1,117246,117246,1.0,
2287,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 01,91,9161,Annual,1,93354,186708,2.0,
2288,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 01,91,9161,Annual,1,87006,87006,1.0,
2289,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 01,91,9161,Annual,1,84054,84054,1.0,
2290,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 01,91,9161,Annual,1,72510,145020,2.0,
2291,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 02,91,9151,Annual,1,100980,605880,6.0,
2292,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 02,91,9151,Annual,1,98052,392208,4.0,
2293,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 02,91,9151,Annual,1,94524,567144,6.0,
2294,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 02,91,9151,Annual,1,91338,91338,1.0,
2295,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 02,91,9151,Annual,1,88296,88296,1.0,
2296,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,D 02,91,9151,Annual,1,68616,411696,6.0,
2297,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,B 09,1,0665,Annual,1,69468,138936,2.0,
2298,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,B 08,1,0430,Annual,1,63348,63348,1.0,
2299,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,1 00,0,0015,Annual,0,10207,10207,,0.0
2300,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4279,Major Accident Investigation Section,1 00,0,0011,Annual,0,12998,12998,,0.0
2301,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,E 03,71,9171,Annual,1,117246,234492,2.0,
2302,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,E 03,71,9171,Annual,1,113670,113670,1.0,
2303,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,D 2A,91,9165,Annual,1,103932,519660,5.0,
2304,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,D 2A,91,9165,Annual,1,100980,908820,9.0,
2305,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,D 2A,91,9165,Annual,1,97440,682080,7.0,
2306,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,D 2A,91,9165,Annual,1,94122,94122,1.0,
2307,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,D 2A,91,9165,Annual,1,70980,283920,4.0,
2308,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,D 01,91,9161,Annual,1,87006,87006,1.0,
2309,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,1 00,0,0015,Annual,0,2243,2243,,0.0
2310,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3287,4287,Financial Crimes Unit,1 00,0,0011,Annual,0,5222,5222,,0.0
2311,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,1 00,9,9684,Annual,1,145428,145428,1.0,
2312,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,G 07,4,9246,Annual,1,109620,109620,1.0,
2313,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,3 00,0,9234,Annual,1,108960,108960,1.0,
2314,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 03,91,9213,Annual,1,104502,104502,1.0,
2315,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9206,Annual,1,100980,2423520,24.0,
2316,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9206,Annual,1,98052,4412340,45.0,
2317,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9206,Annual,1,94524,2079528,22.0,
2318,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9206,Annual,1,91338,1461408,16.0,
2319,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9206,Annual,1,88296,88296,1.0,
2320,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9206,Annual,1,68616,1715400,25.0,
2321,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 03,91,9201,Annual,1,114846,344538,3.0,
2322,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 03,91,9201,Annual,1,111252,222504,2.0,
2323,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,E 04,73,9173,Annual,1,140286,140286,1.0,
2324,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,E 04,73,9173,Annual,1,136116,136116,1.0,
2325,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,E 03,71,9171,Annual,1,124920,499680,4.0,
2326,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,E 03,71,9171,Annual,1,121020,968160,8.0,
2327,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,E 03,71,9171,Annual,1,117246,234492,2.0,
2328,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,E 03,71,9171,Annual,1,113670,227340,2.0,
2329,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 03,91,9166,Annual,1,104502,104502,1.0,
2330,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9163,Annual,1,100980,100980,1.0,
2331,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9163,Annual,1,98052,294156,3.0,
2332,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9163,Annual,1,94524,94524,1.0,
2333,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 02,91,9163,Annual,1,68616,548928,8.0,
2334,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 01,91,9161,Annual,1,93354,93354,1.0,
2335,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 01,91,9161,Annual,1,90024,180048,2.0,
2336,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 01,91,9161,Annual,1,87006,87006,1.0,
2337,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,D 01,91,9161,Annual,1,84054,84054,1.0,
2338,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,4 00,0,9108,Hourly,0,19,234230,,12380.0
2339,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,B 10,1,4238,Annual,1,76248,76248,1.0,
2340,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,B 09,1,0665,Annual,1,69468,69468,1.0,
2341,Local,57,0100,1005,Chicago Police Department,2016,Bureau of Detectives,3291,4306,Forensic Services Division,B 08,1,0430,Annual,1,63348,63348,1.0,
