FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4101,Facilities Area Management Services,3 00,0,0379,Director of Administration,Annual,1,1,99624,99624
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4101,Facilities Area Management Services,BX 14,20,0318,Assistant to the Commissioner,Annual,1,1,79812,79812
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4101,Facilities Area Management Services,3 00,9,0313,Assistant Commissioner,Annual,1,1,104712,104712
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4101,Facilities Area Management Services,B 11,1,0109,Accounting Technician,Annual,1,1,76248,76248
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4102,Custodial Services,BX 16,10,4548,Manager of Buildings Services,Annual,1,1,96096,96096
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4102,Custodial Services,BX 16,10,4548,Manager of Buildings Services,Annual,2,1,91752,183504
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4102,Custodial Services,2 0,45,4223,Custodial Worker,Hourly,2,1,21,85488
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4102,Custodial Services,2 0,45,4223,Custodial Worker,Hourly,4,1,19,157664
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4102,Custodial Services,BX 13,20,0366,Staff Assistant - Excluded,Annual,1,1,79812,79812
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4105,Building Engineers,2 0,12,7747,Chief Operating Engineer,Monthly,5,1,10910,654576
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4105,Building Engineers,2 0,12,7745,Assistant Chief Operating Engineer,Hourly,8,1,58,960128
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4105,Building Engineers,2 0,12,7743,Operating Engineer - Group A,Hourly,72,1,52,7854912
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4105,Building Engineers,3 00,20,4546,Director of Facilities Management,Annual,2,1,117984,235968
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4105,Building Engineers,B 11,1,0450,Clerk IV (Timekeeper),Annual,1,1,66336,66336
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4105,Building Engineers,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,142045,142045
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,2 0,54,6335,Supervising Watchman,Hourly,6,1,29,357302
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,2 0,54,6327,Watchman,Hourly,27,1,24,1342786
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,2 0,54,6302,Supervising Watchman - Agreement,Hourly,4,1,42,353350
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,3 00,10,4268,Director of Security,Annual,1,1,108960,108960
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,BX 15,10,4219,Coordinator of Security and Fire Safety,Annual,2,1,70272,140544
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,BX 15,10,4219,Coordinator of Security and Fire Safety,Annual,1,1,61776,61776
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,B 12,1,0303,Administrative Assistant III,Annual,1,1,83676,83676
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1404,1404
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3101,Facilities Management,4123,Security Services,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,16017,16017
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,1 00,9,9679,Deputy Commissioner,Annual,1,1,131316,131316
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,G 07,4,6053,Mechanical Engineer III,Annual,1,1,76248,76248
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,3 00,20,5630,Coordinating Engineer I,Annual,1,1,108960,108960
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,3 00,20,5410,Coordinating Architect,Annual,2,1,98628,197256
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,G 06,4,5402,Architect II,Annual,1,1,71196,71196
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,BX 13,10,0801,Executive Administrative Assistant I,Annual,1,1,56280,56280
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,3 00,9,0311,Projects Administrator,Annual,1,1,80052,80052
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4106,Architecture and Engineering,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,650,650
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4107,Construction Management,3 00,0,0310,Project Manager,Annual,1,1,115656,115656
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4107,Construction Management,3 00,0,0310,Project Manager,Annual,1,1,101628,101628
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4107,Construction Management,3 00,0,0310,Project Manager,Annual,1,1,98628,98628
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4107,Construction Management,3 00,0,0310,Project Manager,Annual,3,1,96696,290088
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,54,9534,Laborer,Hourly,11,1,44,1015872
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,54,8244,Foreman of Laborers,Hourly,1,1,46,94640
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,8,7183,Motor Truck Driver,Hourly,5,1,38,398840
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,36,6676,Foreman of Machinists,Hourly,1,1,52,108534
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,36,6674,Machinist,Hourly,3,1,50,310003
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,32,5043,Electronics Technician,Hourly,5,1,50,520000
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,32,5042,General Foreman of Electrical Mechanics,Monthly,2,1,9707,232960
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,32,5040,Foreman of Electrical Mechanics,Hourly,6,1,54,667930
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,32,5035,Electrical Mechanic,Hourly,38,1,50,3952000
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,41,4856,Foreman of Sheet Metal Workers,Hourly,1,1,50,104458
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,41,4855,Sheet Metal Worker,Hourly,3,1,47,290160
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,47,4805,Architectural Iron Worker,Hourly,1,1,52,107390
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,14,4776,Foreman of Steamfitters,Hourly,1,1,54,111800
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,14,4774,Steamfitter,Hourly,11,1,51,1161160
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,48,4765,Sprinkler Fitter,Hourly,2,1,50,208624
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,16,4756,Foreman of Plumbers,Hourly,1,1,55,114608
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,16,4754,Plumber,Hourly,17,1,52,1838720
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,39,4636,Foreman of Painters,Hourly,2,1,54,226054
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,39,4634,Painter,Hourly,16,1,48,1607424
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,BX 16,10,4548,Manager of Buildings Services,Annual,1,1,83628,83628
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,BX 16,10,4548,Manager of Buildings Services,Annual,1,1,72024,72024
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,50,4526,General Foreman of General Trades,Monthly,2,1,10358,248602
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,13,4505,Asbestos Worker/ Pipe Insulator,Hourly,1,1,51,106600
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,49,4401,Bricklayer,Hourly,2,1,48,197850
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,34,4335,Glazier,Hourly,2,1,46,192816
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,50,4303,Foreman of Carpenters,Hourly,3,1,52,326102
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,50,4301,Carpenter,Hourly,23,1,50,2380518
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,35,4285,Window Washer,Hourly,2,1,24,100880
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,67460,67460
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,2 0,54,9534,Laborer,Hourly,4,1,44,369408
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,2 0,8,7183,Motor Truck Driver,Hourly,3,1,38,239304
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,B 09,3,3006,Unit Assistant,Annual,1,1,69468,69468
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,B 09,3,3006,Unit Assistant,Annual,2,1,66336,132672
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,B 09,3,3006,Unit Assistant,Annual,1,1,57720,57720
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,B 09,3,3006,Unit Assistant,Annual,1,1,55068,55068
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,B 09,3,3006,Unit Assistant,Annual,3,1,47472,142416
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,B 09,3,3006,Unit Assistant,Annual,1,1,43224,43224
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,BX 12,20,0437,Supervising Clerk - Excluded,Annual,1,1,59580,59580
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,B 10,1,0431,Clerk IV,Annual,1,1,76248,76248
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,3 00,9,0311,Projects Administrator,Annual,1,1,101628,101628
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,9320,9320
Local,38,AIS,0100,Corporate Fund,1005,AIS,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,6159,6159
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4112,Photography Services,B 12,4,6425,Digital Asset Coordinator,Annual,1,1,57180,57180
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4112,Photography Services,BX 14,10,6424,Principal Photographer,Annual,1,1,72744,72744
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4112,Photography Services,BX 16,10,6421,Coordinator of Printing Services - Graphics,Annual,1,1,79812,79812
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4112,Photography Services,BX 15,10,0919,Supervising Photographic Technician,Annual,1,1,79812,79812
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4112,Photography Services,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,3021,3021
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 13,1,6765,Printer,Annual,1,1,100716,100716
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 11,1,6423,Prepress Technician,Annual,1,1,57180,57180
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 14,1,6418,Lead Pressman,Annual,2,1,83676,167352
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 14,1,6418,Lead Pressman,Annual,1,1,63720,63720
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,BX 11,10,6417,Offset Press Operator,Annual,1,1,62376,62376
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,3 00,0,6414,Manager of Graphics and Reproduction Center,Annual,1,1,107880,107880
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 12,1,6410,Reprographics Coordinator,Annual,1,1,87636,87636
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 10,1,6406,Reprographics Technician III,Annual,2,1,76248,152496
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 10,1,6406,Reprographics Technician III,Annual,2,1,60420,120840
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 08,1,6405,Reprographics Technician II,Annual,1,1,41316,41316
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 08,1,6405,Reprographics Technician II,Annual,1,1,36492,36492
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 10,1,0694,Reprographics Technician III,Annual,1,1,76248,76248
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 10,1,0302,Administrative Assistant II,Annual,1,1,76248,76248
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8903,8903
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4114,Design Services,B 13,1,6409,Graphic Artist III,Annual,2,1,91824,183648
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4114,Design Services,B 13,1,6409,Graphic Artist III,Annual,1,1,72048,72048
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3106,Graphics Services,4114,Design Services,BX 16,10,5737,Creative Director,Annual,1,1,105420,105420
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3107,Energy Services,0,,BX 15,10,1912,Project Coordinator,Annual,1,1,91752,91752
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3107,Energy Services,0,,B 13,1,0308,Staff Assistant,Annual,1,1,96096,96096
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3107,Energy Services,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2824,2824
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3108,Document Retention,0,,B 13,1,1301,Administrative Services Officer I,Annual,1,1,100716,100716
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3108,Document Retention,0,,B 13,1,0308,Staff Assistant,Annual,1,1,100716,100716
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,131316,131316
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,B 13,1,6122,Safety Specialist,Annual,1,1,72048,72048
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,GY 07,20,3406,Environmental Health and Safety Coordinator,Annual,1,1,64320,64320
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,GY 07,20,3403,Health and Safety Analyst,Annual,1,1,64320,64320
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,3 00,0,2085,Director of Environmental Health and Safety Compliance,Annual,1,1,112248,112248
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,G 08,4,2073,Environmental Engineer III,Annual,1,1,119712,119712
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,G 08,4,2073,Environmental Engineer III,Annual,3,1,113484,340452
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,G 08,4,2073,Environmental Engineer III,Annual,1,1,86688,86688
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,3 00,0,0310,Project Manager,Annual,1,1,115656,115656
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,B 13,1,0308,Staff Assistant,Annual,1,1,100716,100716
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,3 00,10,0289,Safety Administrator,Annual,1,1,98628,98628
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,20156,20156
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3231,Leasing / Real Estate Portfolio Management,4116,Lease and Real Estate Portfolio Management,1 00,9,9679,Deputy Commissioner,Annual,1,1,131316,131316
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3231,Leasing / Real Estate Portfolio Management,4116,Lease and Real Estate Portfolio Management,3 00,20,5636,Assistant Project Director,Annual,1,1,99624,99624
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3231,Leasing / Real Estate Portfolio Management,4116,Lease and Real Estate Portfolio Management,B 13,1,1663,Leasing Agent,Annual,1,1,100716,100716
Local,38,AIS,0100,Corporate Fund,1005,AIS,2131,Bureau of Asset Management,3231,Leasing / Real Estate Portfolio Management,4116,Lease and Real Estate Portfolio Management,3 00,9,0313,Assistant Commissioner,Annual,1,1,97668,97668
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3200,Fleet Administration,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,131316,131316
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,GY 08,10,6085,Senior Automotive Equipment Analyst,Annual,1,1,94848,94848
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,GY 08,10,6085,Senior Automotive Equipment Analyst,Annual,1,1,72120,72120
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,GY 11,20,6080,Manager - Fleet Services and Automotive Procurement,Annual,1,1,119412,119412
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,B 12,1,1240,Vehicle Registration Coordinator,Annual,1,1,52896,52896
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,B 12,1,0303,Administrative Assistant III,Annual,1,1,83676,83676
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,6479,6479
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,BX 18,10,7181,Manager of Fleet Services,Annual,1,1,99516,99516
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,BX 16,10,7163,Fuel System Service Technician,Annual,1,1,70272,70272
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,2 0,8,7161,Fleet Services Supervisor,Hourly,3,1,27,169915
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,2 0,8,7160,Fleet Services Assistant,Hourly,36,1,26,1952870
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,B 10,1,0431,Clerk IV,Annual,1,1,72828,72828
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,B 10,1,0431,Clerk IV,Annual,1,1,63348,63348
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2688,2688
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,29082,29082
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,B 13,4,7173,Accident Adjuster,Annual,1,1,100716,100716
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,B 13,4,7173,Accident Adjuster,Annual,1,1,96096,96096
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,B 13,4,7173,Accident Adjuster,Annual,2,1,65676,131352
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,B 13,4,7173,Accident Adjuster,Annual,1,1,58020,58020
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,BX 17,10,7172,Manager of Vehicle Adjustments,Annual,2,1,96672,193344
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,B 12,1,7105,Warranty Clerk,Annual,1,1,72828,72828
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,121188,121188
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,B 12,1,0303,Administrative Assistant III,Annual,1,1,83676,83676
Local,38,AIS,0100,Corporate Fund,1005,AIS,2140,Bureau of Fleet Operations,3216,Accidents and Assessments,0,,B 10,1,0302,Administrative Assistant II,Annual,1,1,76248,76248
